date,time,code,open,high,low,close,volume,amount,adjustflag
2024-09-18,20240918134500000,sh.600000,8.2900,8.3100,8.2800,8.3000,323000,2680392.0000,3
2024-09-18,20240918135000000,sh.600000,8.3100,8.3300,8.3000,8.3100,282500,2348736.0000,3
2024-09-18,20240918135500000,sh.600000,8.3100,8.3300,8.3000,8.3100,363800,3027632.0000,3
2024-09-18,20240918140000000,sh.600000,8.3200,8.3500,8.3100,8.3500,381300,3177712.0000,3
2024-09-18,20240918140500000,sh.600000,8.3500,8.3500,8.3100,8.3100,282800,2355208.0000,3
2024-09-18,20240918141000000,sh.600000,8.3100,8.3400,8.3100,8.3300,571800,4760480.0000,3
2024-09-18,20240918141500000,sh.600000,8.3300,8.3300,8.3200,8.3200,159100,1324320.0000,3
2024-09-18,20240918142000000,sh.600000,8.3300,8.3300,8.3100,8.3200,246600,2051728.0000,3
2024-09-18,20240918142500000,sh.600000,8.3200,8.3300,8.3100,8.3200,239400,1991936.0000,3
2024-09-18,20240918143000000,sh.600000,8.3300,8.3300,8.3000,8.3100,338800,2817680.0000,3
2024-09-18,20240918143500000,sh.600000,8.3200,8.3400,8.3100,8.3400,577600,4809872.0000,3
2024-09-18,20240918144000000,sh.600000,8.3400,8.3400,8.3300,8.3300,179400,1494864.0000,3
2024-09-18,20240918144500000,sh.600000,8.3300,8.3500,8.3200,8.3400,393800,3284048.0000,3
2024-09-18,20240918145000000,sh.600000,8.3400,8.3600,8.3400,8.3400,398400,3325392.0000,3
2024-09-18,20240918145500000,sh.600000,8.3400,8.3600,8.3400,8.3400,597900,4990416.0000,3
2024-09-18,20240918150000000,sh.600000,8.3400,8.3500,8.3200,8.3200,397700,3314704.0000,3
2024-09-19,20240919093500000,sh.600000,8.3700,8.4600,8.3400,8.3600,3037200,25533772.0000,3
2024-09-19,20240919094000000,sh.600000,8.3600,8.3600,8.3200,8.3500,940200,7835514.0000,3
2024-09-19,20240919094500000,sh.600000,8.3500,8.3600,8.3100,8.3400,844300,7038116.0000,3
2024-09-19,20240919095000000,sh.600000,8.3400,8.3400,8.3100,8.3100,799500,6654712.0000,3
2024-09-19,20240919095500000,sh.600000,8.3200,8.3300,8.3000,8.3100,595000,4945940.0000,3
2024-09-19,20240919100000000,sh.600000,8.3200,8.3300,8.3000,8.3200,567200,4717524.0000,3
2024-09-19,20240919100500000,sh.600000,8.3100,8.3600,8.3000,8.3600,1112300,9266040.0000,3
2024-09-19,20240919101000000,sh.600000,8.3600,8.4000,8.3600,8.3900,849500,7118464.0000,3
2024-09-19,20240919101500000,sh.600000,8.3800,8.4400,8.3800,8.4300,1325300,11161944.0000,3
2024-09-19,20240919102000000,sh.600000,8.4300,8.4500,8.4200,8.4300,825900,6964168.0000,3
2024-09-19,20240919102500000,sh.600000,8.4300,8.4400,8.4000,8.4200,889000,7495928.0000,3
2024-09-19,20240919103000000,sh.600000,8.4200,8.4300,8.3800,8.4100,1636600,13750136.0000,3
2024-09-19,20240919103500000,sh.600000,8.4100,8.4200,8.3800,8.4000,1367400,11488344.0000,3
2024-09-19,20240919104000000,sh.600000,8.4000,8.4300,8.3900,8.4300,631300,5312136.0000,3
